TS_LOAD,SYS_DESC,VEH_SER,OPR_NAME
"2017-03-06 12:15:51","Hood Conveyor",ZHB578,"Hood Upload"
"2017-03-06 12:15:52","Assembly Line Tracker",SOU593,"Pool 13 Start"
"2017-03-06 12:15:52","Assembly Line Tracker",WXK853,"Pool 13 Start"
"2017-03-06 12:18:00","Cab Conveyer",CVE258,"Cab Upload 2"
"2017-03-06 12:18:00","Cab Conveyor / Monorail",CVE258,"Cab Upload"
"2017-03-06 12:20:55","Cab in white conveyer",WQB451,"CIW upload"
"2017-03-06 12:22:52","Cab call scan",ALP937,"A Line"
"2017-03-06 12:24:09","Cab Conveyer",SYB619,"Cab Upload 2"
"2017-03-06 12:24:09","Cab Conveyor / Monorail",SYB619,"Cab Upload"
"2017-03-06 12:24:27",U-BOLT,MBP046,"Front U-Bolt"
"2017-03-06 12:26:33","STVMS Tracking Chassis Start",HMJ710,"Chassis Start"
"2017-03-06 12:26:36","STVMS Tracking Chassis Start",MVW427,"Chassis Start"
"2017-03-06 12:27:45","Hood Conveyor",VQD376,"Hood Upload"
"2017-03-06 12:28:36","Cab Conveyer",BEM390,"Cab Upload 2"
"2017-03-06 12:28:36","Cab Conveyor / Monorail",BEM390,"Cab Upload"
"2017-03-06 12:29:37","OMT Offline Tracking",QVS392,"Enter Offline"
"2017-03-06 12:29:37","OMT Offline Tracking",QVS392,Sold
"2017-03-06 12:29:56","Cab in white conveyer",KMA503,"CIW upload"
"2017-03-06 12:30:51","Assembly Line Tracker",HMJ710,"Pool 13 Start"
"2017-03-06 12:30:51","Assembly Line Tracker",EJO928,"Pool 13 Start"
"2017-03-06 12:30:52","Assembly Line Tracker",IXM739,"Pool 13 Start"
"2017-03-06 12:31:23","Paint Inspection",FIX581,PAINT
"2017-03-06 12:31:52",U-BOLT,FHL057,"Front U-Bolt"
"2017-03-06 12:32:19","Cab Call Scan",CSD174,"B Line"
"2017-03-06 12:34:31","Cab Conveyer",ETO603,"Cab Upload 2"
"2017-03-06 12:34:31","Cab Conveyor / Monorail",ETO603,"Cab Upload"
"2017-03-06 12:36:02","Cab in white conveyer",KSX968,"CIW upload"
"2017-03-06 12:36:31","STVMS Tracking Chassis Start",AMZ845,"Chassis Start"
"2017-03-06 12:37:08","Cab call scan",TPD286,"A Line"
"2017-03-06 12:39:40","Cab Conveyer",RCF947,"Cab Upload 2"
"2017-03-06 12:39:40","Cab Conveyor / Monorail",RCF947,"Cab Upload"
"2017-03-06 12:39:51",U-BOLT,BRL042,"Front U-Bolt"
"2017-03-06 12:40:26","OMT Offline Tracking",HZD382,"Enter Offline"
"2017-03-06 12:40:51","Assembly Line Tracker",MVW427,"Pool 13 Start"
"2017-03-06 12:43:53","STVMS Tracking Chassis Start",HQD748,"Chassis Start"
"2017-03-06 12:44:02","Cab in white conveyer",TFX540,"CIW upload"
"2017-03-06 12:44:35","OMT Offline Tracking",WDM529,"Enter Offline"
"2017-03-06 12:45:07","Cab Call Scan",JYI091,"B Line"
"2017-03-06 12:45:52","Assembly Line Tracker",AMZ845,"Pool 13 Start"
"2017-03-06 12:46:40","Paint Inspection",CSM507,PAINT
