TS_LOAD,SYS_DESC,VEH_SER_NO,OPR_NAME
2017-03-06 09:51:29.373000,OMT Offline Tracking,CQO892,Enter Offline
2017-03-06 09:51:56.423000,Cab call scan,SGN329,A Line
2017-03-06 09:53:30.543000,OMT Offline Tracking,TGJ401,Enter Offline
2017-03-06 09:53:55.260000,Cab in white conveyer,CSW718,CIW upload
2017-03-06 09:54:10.644927,Paint Inspection,GYI954,PAINT
2017-03-06 09:54:18.000000,U-BOLT,CSD174,Front U-Bolt
2017-03-06 09:55:00.793000,OMT Offline Tracking,ULN810,Enter Offline
2017-03-06 09:55:04.000000,STVMS Tracking Chassis Start,HRY673,Chassis Start
2017-03-06 09:55:07.000000,STVMS Tracking Chassis Start,AKC912,Chassis Start
2017-03-06 09:55:10.000000,STVMS Tracking Chassis Start,DTP539,Chassis Start
2017-03-06 09:55:17.000000,STVMS Tracking Chassis Start,IQS845,Chassis Start
2017-03-06 09:55:21.000000,STVMS Tracking Chassis Start,ZYA587,Chassis Start
2017-03-06 09:55:23.840000,Cab Conveyer,ITO673,Cab Upload 2
2017-03-06 09:55:23.840000,Cab Conveyor / Monorail,ITO673,Cab Upload
2017-03-06 09:58:19.663000,Hood Conveyor,LMN504,Hood Upload
2017-03-06 09:59:21.733000,Cab Call Scan,SLP187,B Line
2017-03-06 09:59:22.223000,Cab Conveyor / Monorail,QME682,Cab Upload
2017-03-06 09:59:22.223000,Cab Conveyer,QME682,Cab Upload 2
2017-03-06 09:59:26.000000,U-BOLT,TPD286,Front U-Bolt
2017-03-06 10:00:02.820000,Hood Conveyor,TPG078,Hood Upload
2017-03-06 10:00:05.672003,Paint Inspection,EUL768,PAINT
2017-03-06 10:00:12.257000,Cab in white conveyer,ZPW452,CIW upload
2017-03-06 10:01:56.953000,OMT Offline Tracking,OIF375,Enter Offline
2017-03-06 10:01:56.953000,OMT Offline Tracking,OIF375,Sold
2017-03-06 10:06:39.903000,Cab Conveyer,FTO836,Cab Upload 2
2017-03-06 10:06:39.903000,Cab Conveyor / Monorail,FTO836,Cab Upload
2017-03-06 10:07:10.907000,Cab call scan,OQA530,A Line
2017-03-06 10:07:30.553000,Cab in white conveyer,MHU637,CIW upload
2017-03-06 10:08:10.351510,Paint Inspection,YTP390,PAINT
2017-03-06 10:08:37.090000,Hood Conveyor,XPR275,Hood Upload
2017-03-06 10:08:56.590000,OMT Offline Tracking,FNG604,Enter Offline
2017-03-06 10:10:53.000000,STVMS Tracking Chassis Start,IBA235,Chassis Start
2017-03-06 10:10:56.000000,STVMS Tracking Chassis Start,MBP046,Chassis Start
2017-03-06 10:10:57.817000,Hood Conveyor,EUL768,Hood Upload
2017-03-06 10:11:35.000000,U-BOLT,JYI091,Front U-Bolt
2017-03-06 10:11:44.373000,Cab Conveyer,YPV702,Cab Upload 2
2017-03-06 10:11:44.373000,Cab Conveyor / Monorail,YPV702,Cab Upload
2017-03-06 10:12:00.417000,Cab in white conveyer,USH564,CIW upload
2017-03-06 10:14:40.650412,Paint Inspection,SOU593,PAINT
2017-03-06 10:15:01.000000,U-BOLT,TQL981,Front U-Bolt
2017-03-06 10:16:02.363000,Hood Conveyor,GYI954,Hood Upload
2017-03-06 10:17:39.877000,Cab in white conveyer,LZA034,CIW upload
2017-03-06 10:20:23.213008,Paint Inspection,EJO928,PAINT
2017-03-06 10:21:23.617000,Cab in white conveyer,OXE951,CIW upload
2017-03-06 10:21:49.417000,OMT Offline Tracking,NVM832,Enter Offline
2017-03-06 10:21:50.000000,U-BOLT,KQN543,Front U-Bolt
2017-03-06 10:22:15.710000,Hood Conveyor,YTP390,Hood Upload
2017-03-06 10:22:58.690000,Cab call scan,EQK798,A Line
2017-03-06 10:23:35.827000,Cab Conveyer,SLP187,Cab Upload 2
2017-03-06 10:23:35.827000,Cab Conveyor / Monorail,SLP187,Cab Upload
2017-03-06 10:24:51.000000,STVMS Tracking Chassis Start,FHL057,Chassis Start
2017-03-06 10:24:54.000000,STVMS Tracking Chassis Start,BRL042,Chassis Start
2017-03-06 10:25:53.050000,Assembly Line Tracker,BRL042,Pool 13 Start
2017-03-06 10:25:53.890000,Assembly Line Tracker,FHL057,Pool 13 Start
2017-03-06 10:25:54.783000,Assembly Line Tracker,MBP046,Pool 13 Start
2017-03-06 10:25:55.607000,Assembly Line Tracker,IBA235,Pool 13 Start
2017-03-06 10:25:56.457000,Assembly Line Tracker,ZYA587,Pool 13 Start
2017-03-06 10:25:57.270000,Assembly Line Tracker,IQS845,Pool 13 Start
2017-03-06 10:26:26.987000,Cab in white conveyer,DZO637,CIW upload
2017-03-06 10:28:42.000000,U-BOLT,XGW598,Front U-Bolt
2017-03-06 10:29:04.537150,Paint Inspection,IXM739,PAINT
2017-03-06 10:30:01.787000,OMT Offline Tracking,YKZ247,Enter Offline
2017-03-06 10:30:50.903000,Assembly Line Tracker,LMN504,Pool 13 Start
2017-03-06 10:31:21.110000,Cab Call Scan,DFZ024,B Line
